PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SortKey
Soy9h,r3k3/pp2npp1/3p4/3P1q2/1P6/PQ2P3/1B1K1p2/2R2B1r b q - 0 26,f5d5 b3d5 e7d5 f1b5 e8e7 c1h1,1582,75,96,13855,advantage discoveredAttack long middlegame,https://lichess.org/fflv8PcG/black#51,,1330080
o3Tlj,5rk1/5pp1/1qppN3/7p/2P1PRn1/1P1P4/1P4PP/2Q3K1 w - - 0 28,d3d4 f7e6 f4f8 g8f8,1403,73,95,13224,advantage endgame hangingPiece pin short,https://lichess.org/JJKhOI6p#54,,1256280
rSju2,r1q1r3/2P2pk1/8/p1RQp1n1/7N/4P1P1/1P2BP1p/R3B1K1 w - - 0 29,g1f1 c8h3 d5g2 h2h1q,1402,76,95,13816,advancedPawn mate mateIn2 middlegame promotion short,https://lichess.org/MsaJqBHn#56,,1312520
VKumJ,5k1r/p3bpp1/1pqp4/8/4b1P1/2P1BN2/P1P2PK1/1R1Q1R2 w - - 3 19,f1h1 h8h1 g2h1 e4f3 h1g1 f3d1,1594,73,95,19032,attraction crushing fork long middlegame,https://lichess.org/BSNkFhUM#36,Scotch_Game Scotch_Game_Other_variations,1808040
45Dov,rn2k2r/ppp1ppbp/6p1/3NP2n/5B2/5P2/PPP2P1P/3RKB1R b Kkq - 2 10,h5f4 d5c7 e8f8 d1d8,1625,73,95,19079,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/3S6XfX6P/black#19,Pirc_Defense Pirc_Defense_Classical_Variation,1812505
eiZ0M,3r3r/2p1k2p/6p1/1pq1b3/4Q3/8/P1P3PP/4RR1K b - - 1 26,e7e6 e4g4 e6e7 g4g5 e7d7 e1e5,1597,78,96,16192,advantage exposedKing long middlegame,https://lichess.org/VmeTinIF/black#51,,1554432
qy8Uv,r1b2rk1/pp3ppp/2pQ1n2/4B3/8/P1P3P1/2q2PBP/R3R1K1 b - - 1 15,f6g4 d6f8 g8f8 e5d6 f8g8 e1e8,1458,75,94,20345,attraction backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/zQ8A1U2V/black#29,Englund_Gambit_Complex Englund_Gambit_Complex_Englund_Gambit,1912430
gKoGy,r4r1k/1b3ppp/p2b4/1pB2q2/4P3/P2P2P1/BPP3QP/R5K1 w - - 0 22,e4f5 d6c5 g1f1 b7g2,1490,78,94,19644,advantage hangingPiece kingsideAttack middlegame short,https://lichess.org/lZZnIqN2#42,,1846536
JydUg,8/4k2p/4P2p/8/1b4P1/1Bp4P/p2p2K1/3R4 w - - 0 46,b3a2 c3c2 a2b3 c2c1q,1272,74,95,21128,advancedPawn crushing endgame promotion short,https://lichess.org/UtE5SAtN#90,,2007160
y4WX4,2q3k1/pp2p1P1/3p3n/2r4P/3Q4/2P2R2/P2K4/8 b - - 0 31,c8e6 f3f8 g8h7 f8h8,1398,75,96,13967,endgame mate mateIn2 short,https://lichess.org/AhYtYHKz/black#61,,1340832
vIq5k,7q/7P/Q5P1/4n3/5P2/4P3/1p4K1/1k6 b - - 0 53,e5g6 a6g6 b1c1 g6g8 h8g8 h7g8q,1295,76,97,14056,advancedPawn crushing endgame hangingPiece long promotion,https://lichess.org/tDlZWUXr/black#105,,1363432
IcFmo,7k/7p/2p2p2/1pN5/pr6/1P2BPP1/P6K/8 w - - 0 37,c5d3 a4b3 d3b4 b3b2 e3d4 b2b1q,1584,75,96,19908,advancedPawn crushing endgame long promotion sacrifice,https://lichess.org/qnBNG0iw#72,,1911168
UVgpQ,2k1r2r/ppp2Rpp/8/1Qb5/8/P1P1q3/1P4PP/R6K b - - 0 21,h8f8 b5d7 c8b8 d7c7 b8a8 c7b7,1529,75,97,16672,long mate mateIn3 middlegame queensideAttack,https://lichess.org/4s8Ar6f1/black#41,,1617184
cFAgO,2r2r1k/1p1b1p2/pq2pP2/3p4/1b1P2p1/2N1B3/PP2QP1P/2R2RK1 w - - 0 21,e2g4 f8g8 e3g5 g8g5 g4g5 c8g8,1625,73,96,20276,advantage clearance long middlegame pin sacrifice,https://lichess.org/5UTnJxj2#40,,1946496
KtyFN,1k1r3r/2p1qpp1/pp3n1p/1b1pN3/P2QPP1P/4B3/1PP3P1/R3K2R b KQ - 0 19,d5e4 a4b5 d8d4 e5c6 b8b7 c6e7,1491,73,96,20957,crushing fork long middlegame sacrifice,https://lichess.org/rcT0ggCV/black#37,Scotch_Game Scotch_Game_Other_variations,2011872
d7EVL,6k1/3bpp1p/3p2p1/2n5/4P3/1q5P/2N2PP1/rB1QR1K1 b - - 5 29,c5e4 c2a1 b3d1 e1d1,1514,77,95,12998,advantage hangingPiece middlegame short,https://lichess.org/74RXKuK9/black#57,,1234810
KwtBg,4R3/8/6p1/5p2/3P1k1p/7P/1r3KP1/8 w - - 7 51,e8e2 b2e2 f2e2 f4e4,1598,76,96,13940,crushing endgame master masterVsMaster rookEndgame short,https://lichess.org/OU8L0HKO#100,,1338240
46e4A,1r5r/1Qp1q1bp/5kp1/5b2/2B1pB2/8/PP3PPP/R4RK1 w - - 2 21,b7c7 e7c7 f4c7 b8c8,1641,74,96,15492,advantage middlegame short,https://lichess.org/ZU0zK5tG#40,,1487232
6uzOK,1nr3k1/6p1/4qpQP/1p1p1p2/1P1P4/8/5PP1/6K1 b - - 0 35,e6f7 h6h7 g8h8 g6f7,1214,75,94,13845,advancedPawn advantage deflection endgame short,https://lichess.org/93S8HKJy/black#69,,1301430
d3twI,r2q1rk1/ppp3p1/2n1pn1p/4b3/7N/P1NP3P/1PP3P1/R1BQ1RK1 w - - 0 14,c1d2 d8d4 g1h1 d4h4,1451,74,96,26510,crushing fork opening short,https://lichess.org/2zBIZDfU#26,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,2544960
MKCXC,rnb1kb1r/pp3ppp/2p2q2/8/4P3/2pB4/PPPP2PP/R1BQK1NR w KQkq - 0 8,g1f3 c3b2 c1b2 f6b2,1619,74,95,21268,advancedPawn advantage fork opening short trappedPiece,https://lichess.org/4Y7iCKmD#14,Vienna_Game Vienna_Game_Vienna_Gambit,2020460
hfMHE,2r3k1/2r2pp1/7p/2p5/1P3qN1/2QR4/7P/4R1K1 w - - 0 29,c3e5 f4g4 d3g3 g4d4 e5d4 c5d4,1368,75,94,15109,advantage hangingPiece long middlegame,https://lichess.org/OZj5h4W5#56,,1420246
sUNKR,2RR4/5pk1/5n1q/pp3p2/8/1P4P1/PB3PKP/4r3 b - - 20 39,f5f4 d8g8 g7h7 g8h8 h7g6 h8h6,1827,76,95,13838,crushing endgame long pin skewer,https://lichess.org/Pt3HyH2y/black#77,,1314610
oFzhT,r2q1rk1/1Q3p2/p2bbp1p/3p4/3Pp3/2N1P2P/PP1N1PP1/R4RK1 w - - 0 16,c3d5 e6d5 b7d5 d6h2 g1h2 d8d5,1448,80,95,22720,advantage discoveredAttack long middlegame,https://lichess.org/k7yrrRjF#30,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation,2158400
c8ebE,R1b3k1/1pq1r1p1/2p4p/4pp2/1P1P4/2PB4/4QPPP/6K1 b - - 1 23,e5d4 a8c8 c7c8 e2e7,1509,77,95,24596,crushing deflection endgame short,https://lichess.org/Ymf9CHBu/black#45,,2336620
Tg4LG,8/P1p2kp1/3b1p2/5R2/3Pn1p1/1P2P3/4r3/B5K1 w - - 3 32,a7a8q d6h2 g1f1 e4g3,1584,74,96,13043,endgame mate mateIn2 short,https://lichess.org/exbJZhJH#62,,1252128
FwvK6,3rkb1r/2q2p2/p2p1np1/1pn1p1B1/4P3/P1N3NP/1PPQ1PB1/5RK1 b k - 0 20,f8e7 g5f6 e7f6 c3d5 c7c8 d5f6,1455,75,94,14878,advantage fork long middlegame,https://lichess.org/HiIPOvaE/black#39,,1398532
A0JLH,r2qr3/2p2p1p/p3pkp1/1p2Qn2/3P4/5b2/PP1N1PPP/2R2RK1 b - - 1 21,f6e7 c1c7 d8c7 e5c7,1455,78,96,25451,crushing middlegame short,https://lichess.org/Mos6i4DL/black#41,,2443296
FIZ4w,6k1/1p1n1ppp/2p2p2/5b2/P1PP4/2B1bN2/BP2r1PP/4R1K1 w - - 2 22,g1f1 e2f2 f1g1 f2f3,1488,76,95,17148,crushing discoveredAttack middlegame short,https://lichess.org/pfw9Uwtq#42,,1629060
qQcBq,7r/ppk1pp1p/6p1/2P5/Nn1N1Pn1/P7/1P4PP/R5K1 b - - 0 22,h8d8 d4b5 c7b8 a3b4,1452,76,94,20108,advantage endgame short,https://lichess.org/2PNQXPeJ/black#43,,1890152
OkUUP,8/p2Q3p/1p4p1/6k1/4q3/PP1p2P1/5P1P/5K2 w - - 0 38,h2h4 g5h6 f1g1 e4e1 g1g2 d3d2,1582,74,96,13047,advancedPawn crushing defensiveMove endgame long master queenEndgame,https://lichess.org/ViLDVlzB#74,,1252512
G4JhH,rnbqkb1r/pp1p1p1p/4pnp1/6B1/3QP3/2P2N2/PP3PPP/RN2KB1R b KQkq - 2 6,b8c6 d4f6 d8f6 g5f6,1703,75,95,13472,crushing opening short,https://lichess.org/dlfEcyOe/black#11,French_Defense French_Defense_Knight_Variation,1279840
IxL0T,r3kbr1/1b1p1p1p/p3Pp2/8/3B4/2qB4/P1P2RPP/R2Q2K1 b q - 0 16,c3d4 e6f7 e8f7 d3g6 g8g6 d1d4,1839,75,94,14439,advancedPawn advantage attackingF2F7 attraction discoveredAttack long middlegame,https://lichess.org/D3eINwOX/black#31,Sicilian_Defense Sicilian_Defense_Kan_Variation,1357266
eQapb,rnbqk1nr/pp3ppp/4p3/3P4/1bB5/2N5/PP3PPP/R1BQK1NR b KQkq - 0 7,g8f6 d1a4 c8d7 a4b4,1483,75,95,20348,advantage fork opening short,https://lichess.org/j3GCmzc6/black#13,Queens_Gambit_Declined Queens_Gambit_Declined_Queens_Knight_Variation,1933060
1ajPB,5Qk1/1b1qn2p/pp1p2p1/2pPn3/2P2N2/1PNB4/P5PP/5RK1 b - - 0 22,g8f8 f4e6 f8g8 f1f8,1179,80,97,12899,doubleCheck mate mateIn2 middlegame short,https://lichess.org/DSmI7TfD/black#43,,1251203
ypEGD,5r1k/5rpp/pp6/4p3/2PpQ3/qP1R1PP1/P5KP/R7 w - - 5 27,e4e2 e5e4 f3e4 f7f2 e2f2 f8f2 g2f2 a3b2 f2f3 b2a1,1509,76,97,18921,advantage attraction endgame fork sacrifice veryLong,https://lichess.org/9pFps0OK#52,,1835337
NPrSD,r1b2rk1/p4pp1/1bpQ3p/4p1q1/NP2P3/P1P2P2/6PP/2KR1B1R w - - 1 18,c1b2 f8d8 d6d8 b6d8,1383,74,94,15829,crushing middlegame short,https://lichess.org/ZMJT7n6l#34,Sicilian_Defense Sicilian_Defense_Taimanov_Variation,1487926
g4oaS,6k1/1q3ppp/7r/pB3P2/6P1/1PP2KNn/P1Q2P2/7R w - - 2 32,c2e4 h3g5 f3f4 g5e4,1333,75,96,12780,crushing fork middlegame short,https://lichess.org/OLxbMNfq#62,,1226880
1nUO4,3r1qk1/1p2rppp/p7/5P2/Q5R1/4PNbP/PP2R3/5K2 b - - 12 28,g3b8 f5f6 e7e6 g4g7 f8g7 f6g7,2053,82,90,44249,advancedPawn crushing kingsideAttack long middlegame pin,https://lichess.org/AtQYXIIu/black#55,,3982410
VE8HL,r1bq3r/4ppkp/p2p2p1/2n3QP/2nNP1P1/2N2P2/P1B5/2KR3R b - - 1 20,e7e5 h5h6 g7g8 g5d8,1534,75,94,14472,interference mate mateIn2 middlegame short,https://lichess.org/YOR3ddKO/black#39,,1360368
hA7jw,8/1R3pkp/3p1np1/p5N1/P4rP1/7P/8/6K1 b - - 1 31,f6g4 g5e6 g7h6 e6f4,1324,76,95,23841,advantage endgame pin short,https://lichess.org/uFP2xGa8/black#61,,2264895
vDVLM,2r2rk1/5pb1/p5p1/1p1Rn2p/4P3/1B2BP2/PP3PKP/4R3 w - - 0 23,e3d4 e5d3 e1d1 d3f4,1821,78,95,14590,advantage middlegame short,https://lichess.org/w7MBfvw2#44,,1386050
waKWu,r3r1k1/5pb1/1pq3pp/2nNP3/p7/P4N2/1PQ3PP/2RR3K b - - 1 31,a8d8 d5e7 e8e7 d1d8,1677,75,95,14321,advantage deflection discoveredAttack kingsideAttack master middlegame short,https://lichess.org/PnaGvLKB/black#61,,1360495
AdkYm,r5r1/pb1pk3/2pR1n2/1p2q2p/1P2P3/2N2QP1/1P3P1p/3R3K b - - 0 25,f6g4 d6d7 e7e8 f3f7,1196,74,96,13183,fork mate mateIn2 middlegame short,https://lichess.org/HQfRrtWb/black#49,,1265568
8NO1C,8/8/1R3kp1/p3rn1p/P7/3K2PP/5P2/8 b - - 4 42,f6g5 f2f4 g5h6 f4e5,1611,74,96,14862,crushing endgame fork short,https://lichess.org/xgP90XeI/black#83,,1426752
epW5F,2krr3/Qpp3pp/2bb1p2/8/8/1P4P1/P1PP1P1P/q1BK1B1R b - - 0 17,c6h1 f1h3 f6f5 h3f5 e8e6 f5e6 d8d7 a7a8,1653,73,96,16706,mate mateIn4 middlegame pin queensideAttack veryLong,https://lichess.org/YTqDxVyL/black#33,Scandinavian_Defense Scandinavian_Defense_Other_variations,1603776
XMN73,2r2bk1/p1q2ppp/4p3/3pN2N/6Q1/7P/r4PP1/4R1K1 b - - 3 29,c7c2 h5f6 g8h8 e5f7,1438,75,96,15145,deflection mate mateIn2 middlegame pin short,https://lichess.org/bAwPZf4G/black#57,,1453920
fPBJ0,2r2rk1/4pp2/3p2Q1/p3b2p/Pp5q/1B6/1PP1N3/1K1R4 b - - 0 28,g8h8 g6h6 h8g8 d1g1,1293,75,96,22321,crushing middlegame short,https://lichess.org/ydmqrWwK/black#55,,2142816
eg2wj,R7/8/1k2P3/8/1p1K4/pr6/8/8 b - - 0 62,b3b1 e6e7 b1d1 d4c4,1635,76,96,18846,advancedPawn crushing defensiveMove endgame rookEndgame short,https://lichess.org/8v25tMZT/black#123,,1809216
N5Axl,3q2r1/3P1pk1/p3b3/1p2Q3/P1pR4/2P5/1P4P1/6K1 b - - 4 47,g7g6 e5g3 g6f6 g3g8 d8g8 d7d8q g8d8 d4d8,2058,78,92,143500,advancedPawn crushing endgame exposedKing master promotion superGM veryLong,https://lichess.org/WrNrep7A/black#93,,13202000
6ByYN,3q2k1/rr3ppp/p2p4/1p1Pb3/3pP1B1/P2P1QPP/1P3R1K/2R5 b - - 6 23,b5b4 c1c8 d8c8 g4c8,1644,74,96,16232,crushing middlegame pin short,https://lichess.org/J53Mz78T/black#45,,1558272
7Xg6X,8/pp1b1p1k/4p1pp/3p4/3Q1P2/PP4q1/2r5/3K3R b - - 1 34,g3g2 h1h6 h7h6 d4h8,1194,77,94,16282,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/X9lb8Bs9/black#67,,1530508
7yEbQ,7k/8/3n1R1p/1rN3p1/8/6P1/5P1P/6K1 b - - 1 40,b5c5 f6h6 h8g7 h6d6 c5c1 g1g2,1517,74,96,20733,advantage endgame fork long master,https://lichess.org/2h7PIo97/black#79,,1990368
eBBm6,7k/1p2q3/p6p/1N5N/3P2Pn/1P4KP/1PP2R2/R7 w - - 0 36,b5c3 e7e3 f2f3 e3f3 g3h4 f3f2 h5g3 f2f6 h4h5 f6g5,1490,78,95,13612,endgame mate mateIn5 veryLong,https://lichess.org/6e2m5TDt#70,,1293140
bdkRR,8/p5p1/1pp5/3p2P1/2k4P/2P1r3/P4K2/2R5 b - - 2 41,e3c3 c1c3 c4c3 h4h5 d5d4 h5h6 g7h6 g5h6,1582,77,96,15073,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/zQ03ITUp/black#81,,1447008
jW6GO,2rq1rk1/4npb1/p5pB/1pn5/3pN3/P4P2/1PPQ1P1P/2KR1B1R w - - 1 16,h6g7 c5b3 c1b1 b3d2,1305,77,97,18353,crushing master opening pin queensideAttack short,https://lichess.org/5deZzGRJ#30,Modern_Defense Modern_Defense_Standard_Line,1780241
1jwCv,b1R5/P4ppp/3kp3/8/8/6P1/8/5KBr b - - 2 39,a8d5 c8d8 d6c7 d8d5 e6d5 a7a8q,1436,75,95,23034,advancedPawn crushing deflection endgame long promotion,https://lichess.org/vR8WC7gr/black#77,,2188230
p9WzU,3r1b1k/pp5p/2p2p2/8/1P3N2/P2r2P1/5P1P/2R1R1K1 b - - 3 28,f8h6 f4d3 h6c1 d3c1,1409,77,95,20785,crushing endgame short,https://lichess.org/nmQuDsh9/black#55,,1974575
3r8xM,8/5B1p/1p1r4/2p3K1/p1P2pP1/1k3P1P/8/R7 w - - 2 57,g5f4 d6f6 f4e5 f6f7,1399,74,95,20801,advantage endgame fork short,https://lichess.org/1PwPX20i#112,,1976095
8pV72,8/p4r1k/6pp/8/P1P1P3/5q2/1Q2KP2/2RR4 w - - 5 36,e2d2 f3f2 d2c3 f7f3 d1d3 f3d3 c3d3 f2b2,1846,78,91,144292,advantage endgame exposedKing veryLong,https://lichess.org/tcRB0dwP#70,,13130572
VYS5E,5k1r/4qp2/p6b/1p1RP3/2p3QP/P5P1/1P5K/8 b - - 0 34,e7e6 d5d8 f8e7 g4e6 e7e6 d8h8,1626,75,96,15235,advantage endgame long,https://lichess.org/vHHkCpjX/black#67,,1462560
eTCzI,8/p4r2/1p1p2kp/1B6/3P1P2/2P3KP/1P3P2/8 b - - 0 34,f7f5 b5d3 g6f6 d3f5,1239,74,97,17350,crushing endgame pin short,https://lichess.org/MeUcKdA0/black#67,,1682950
UZc8R,6k1/3K1ppp/1r2p2P/8/P1rbb3/6Q1/8/8 b - - 0 47,b6a6 g3b8 c4c8 b8c8,1244,76,95,17438,endgame mate mateIn2 short,https://lichess.org/ih7NfQLg/black#93,,1656610
SjLBG,r4k2/1p3pp1/2p3bp/1n1p4/1P2pRP1/2P1P3/BKP5/3R4 w - - 0 30,c3c4 a8a2 b2a2 b5c3 a2b3 c3d1,1494,74,95,13043,attraction crushing endgame fork long sacrifice,https://lichess.org/q1wiVKkC#58,,1239085
QJpgX,8/6k1/6B1/3p4/6p1/3R2K1/P2pr2P/8 w - - 2 42,g6e8 e2e3 d3e3 d2d1q,1316,75,93,14623,advancedPawn advantage deflection endgame promotion short,https://lichess.org/lTmH1OWL#82,,1359939
8Vr5Z,3r4/2k3bp/5p2/pQp1p3/3qP3/P6P/6P1/1R5K b - - 0 31,g7f8 b5b7 c7d6 b1b6,1319,79,95,20382,endgame mate mateIn2 short,https://lichess.org/OZUTgC1R/black#61,,1936290
Cemh2,6k1/8/p2pNqpr/2pPp3/2P1B3/4P3/PP2K1R1/8 b - - 3 45,g8f7 g2f2 f7e7 f2f6,1829,73,95,14413,advantage endgame pin short,https://lichess.org/bZqBrJOs/black#89,,1369235
df8bI,1r1q1rk1/1bNpnppp/p1nQ4/1p2p3/4P3/1BP5/PP1B1PPP/R3K2R w KQ - 2 15,e1g1 e7c8 d6d3 d8c7,1590,75,95,15611,advantage middlegame short,https://lichess.org/wKMHRLkA#28,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation,1483045
dCjBK,r1b2rk1/1p3pp1/p5np/2bpqN1Q/4p1B1/2P4P/PP3PP1/R1B1R1K1 b - - 1 23,g6f4 f5h6 g7h6 h5e5,1432,76,96,25662,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/IC5bqt5l/black#45,,2463552
RExx5,5r1k/pp4pp/3RP3/5q2/2P5/1P5p/P5P1/4Q2K w - - 0 32,g2g3 f5f3 h1g1 f3g2,1448,74,97,19531,endgame mate mateIn2 short,https://lichess.org/ygrbGOzt#62,,1894507
Q2iLs,5rk1/ppp4n/3p3p/3Pp1pq/N1P5/4Nr2/PP4QP/4R1RK w - - 6 24,a4c3 f3f2 c3e4 f2g2,1549,74,94,14945,advantage middlegame short,https://lichess.org/r7kFXsN1#46,,1404830
dpHO5,2b3k1/R3r1b1/2pqp1Qp/3p2pN/3P4/4PN1P/5PP1/6K1 b - - 2 29,e7a7 h5f6 g8h8 g6h7,1606,77,96,16392,mate mateIn2 middlegame short,https://lichess.org/CyoSpQI2/black#57,,1573632
usGrm,7k/8/2p1p1KP/1pPpP3/3P2N1/8/2n5/8 b - - 2 65,b5b4 h6h7 b4b3 g4h6 b3b2 h6f7,1825,76,95,14666,advancedPawn endgame knightEndgame long master mate mateIn3 quietMove,https://lichess.org/VkP7Cq2m/black#129,,1393270
tAz1e,rn1qk2r/pQ3pbp/3p2p1/1bp1p3/8/2NP4/PPP2PPP/R3K1NR w KQkq - 0 11,b7a8 b5c6 a8a7 c6g2,1555,74,96,22135,crushing interference middlegame short,https://lichess.org/Ie2IbR5b#20,Sicilian_Defense Sicilian_Defense_Closed,2124960
qrCnH,5r2/1pp1k1p1/p2pq3/3N4/3nP3/3P2p1/PPP3P1/R2K1Q2 b - - 3 24,e6d5 f1f8 e7f8 e4d5,1293,74,95,20134,advantage endgame intermezzo short,https://lichess.org/BvD0xStw/black#47,,1912730
ltFvd,2kr4/pp1rbppp/6q1/3N1b2/5P2/6P1/PPP3QP/2KRR3 b - - 0 19,g6c6 d5e7 d7e7 g2c6 b7c6 e1e7,1782,75,95,13813,crushing discoveredAttack fork long middlegame,https://lichess.org/6hkVBRQ2/black#37,Richter-Veresov_Attack Richter-Veresov_Attack_Other_variations,1312235
VJUwR,8/R7/3p2pk/1NpPpq2/2P2p1p/5Q1P/3n2P1/6K1 w - - 5 39,f3f2 f5b1 g1h2 d2f1 f2f1 b1f1,1535,76,96,19161,crushing endgame long,https://lichess.org/cWC8ComM#76,,1839456
KZCUH,2r3k1/1p3pp1/4p2p/1P1pP3/3P4/3qP3/5QPP/5RK1 b - - 2 31,d3b5 f2f7 g8h8 f7e6,1277,74,95,12842,advantage endgame short,https://lichess.org/YDBQ63bm/black#61,,1219990
wgR0N,r1bqk2r/1ppn1ppp/p2bp3/3pN3/P1PP1P2/2N5/1P3PPP/R2QKB1R b KQkq - 0 9,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1256,74,96,15524,advantage long middlegame,https://lichess.org/0N656CyD/black#17,Indian_Defense Indian_Defense_London_System,1490304
2R9Ln,7k/1R6/p1p5/P5pp/7n/1B5P/1P3PK1/3Nr3 w - - 4 35,g2g3 e1g1 g3h2 h4f3,1545,77,95,13753,endgame mate mateIn2 short,https://lichess.org/0CVcnUKO#68,,1306535
8MWDU,r4r2/1pp2pk1/p1n3pp/8/2B1QRP1/P7/1qP4P/5RK1 b - - 3 25,b2e5 f4f7 f8f7 f1f7 g7h8 e4g6,1417,74,96,20993,crushing long middlegame,https://lichess.org/YiG1weIX/black#49,,2015328
zmwxR,6k1/3q1p2/3p3p/1R1Pp1pn/4P3/5P1P/4QBPK/2r5 w - - 2 32,f2e3 c1h1 h2h1 h5g3 h1h2 g3e2,1530,76,97,23701,advantage attraction endgame fork long sacrifice,https://lichess.org/9ESASu7x#62,,2298997
LsJzM,2r3k1/p2q1pp1/R1b1rn1p/4p3/4P2N/2QP3P/4NPP1/2R3K1 w - - 6 25,h4f5 c6b7 a6a7 c8c3,1693,73,96,13657,advantage discoveredAttack middlegame short,https://lichess.org/JOkmc98M#48,,1311072
uEOqf,8/p7/8/7R/1P4k1/P6N/2r4r/R4K2 w - - 2 37,h5h8 h2h1 h3g1 h1h8,1219,76,95,20340,crushing endgame short,https://lichess.org/wjUMMrmT#72,,1932300
JMhZv,8/1q3p1k/6pP/8/3Q4/6PK/5P2/8 b - - 2 40,h7h6 d4h8 h6g5 f2f4 g5f5 h8e5,1662,75,96,13517,endgame long mate mateIn3 queenEndgame,https://lichess.org/eNOY7UmL/black#79,,1297632
ehNIZ,rn1qk1nr/1p3ppp/p1pb4/3NNb2/Q2P1B2/8/PP2PPPP/R3KB1R b KQkq - 0 9,d6e5 f4e5 d8d5 e5g7,1273,77,95,18261,advantage opening pin short,https://lichess.org/R8s3iIpY/black#17,Queens_Gambit_Declined Queens_Gambit_Declined_Baltic_Defense,1734795
49e7p,3r1rk1/pp2qppp/2p1b1P1/7P/4p3/1P2P1Q1/PBPR1P2/2K4R b - - 0 19,d8d2 g6h7 g8h7 g3g7,1506,75,95,20520,advancedPawn attraction discoveredAttack kingsideAttack mate mateIn2 middlegame short,https://lichess.org/7GnKMoOp/black#37,Mikenas_Defense Mikenas_Defense_Other_variations,1949400
3AZG3,r5k1/2r2b2/3R1Pp1/p3p3/R1P1P1B1/8/7P/6K1 b - - 1 30,f7c4 a4c4 c7c4 g4e6 g8h8 e6c4,1760,73,97,15458,attraction crushing endgame exposedKing fork long sacrifice,https://lichess.org/jwprdV5v/black#59,,1499426
BZTmH,r4r2/ppp1pp2/3p1k1N/6q1/3P1P2/4P3/PP4PQ/2K4R b - - 0 24,g5g6 h2h4 f6e6 f4f5 e6d7 f5g6,1357,75,95,21162,crushing endgame exposedKing fork long,https://lichess.org/YAPHRnCC/black#47,,2010390
